ds,y
01/09/22,14
02/09/22,19
03/09/22,2
04/09/22,4
05/09/22,15
06/09/22,37
07/09/22,8
08/09/22,14
09/09/22,18
10/09/22,1
12/09/22,16
13/09/22,12
14/09/22,11
15/09/22,10
16/09/22,19
17/09/22,3
19/09/22,17
20/09/22,17
21/09/22,28
22/09/22,26
23/09/22,11
24/09/22,5
25/09/22,5
26/09/22,21
27/09/22,15
28/09/22,14
29/09/22,15
30/09/22,28
01/10/22,4
02/10/22,1
03/10/22,29
04/10/22,21
05/10/22,2
06/10/22,14
07/10/22,20
08/10/22,8
09/10/22,2
10/10/22,16
11/10/22,20
12/10/22,18
13/10/22,23
14/10/22,22
15/10/22,6
16/10/22,7
17/10/22,17
18/10/22,22
19/10/22,20
20/10/22,15
21/10/22,17
23/10/22,1
24/10/22,6
25/10/22,36
26/10/22,17
27/10/22,6
28/10/22,12
29/10/22,5
30/10/22,6
31/10/22,19
01/11/22,9
02/11/22,25
03/11/22,70
04/11/22,48
05/11/22,1
06/11/22,3
07/11/22,70
08/11/22,67
09/11/22,59
10/11/22,55
11/11/22,60
12/11/22,2
13/11/22,3
14/11/22,41
15/11/22,53
16/11/22,51
17/11/22,52
